Nr;Kod stacji;Kod mi©dzynarodowy;Nazwa stacji;Stary Kod stacji;Data uruchomienia;Data zamkni©cia;Typ stacji;Typ obszaru;Rodzaj stacji;Wojew¢dztwo;MiejscowoòÜ;Ulica;WGS84 ? N;WGS84 ? E
634;OpStrzel247;PL0408A;Strzelce manualna 247;OpStrzel247;01.01.2005;31.12.2009;tào;miejski;w budynku;OPOLSKIE;Strzelce Opolskie;ul. Piàsudskiego 20;50.513889;18.303892
635;OpZdze12392;PL0409A;Zdzieszowice lokalna 12392;OpZdze12392;27.11.1990;31.12.2008;tào;miejski;kontenerowa stacjonarna;OPOLSKIE;Zdzieszowice;ul. Sienkiewicza;50.435278;18.132514
636;OpZdziePiast;PL0222A;Zdzieszowice automat 2;OpZdze2a;01.01.2005;;tào;miejski;kontenerowa stacjonarna;OPOLSKIE;Zdzieszowice;ul. Piast¢w 6;50.423533;18.120739
637;PdAugSzpitalna;;August¢w ul.Szpitalna 12;PdAugSzpitalna;01.01.1994;31.12.2002;tào;miejski;w budynku;PODLASKIE;August¢w;ul. Szpitalna 12;53.851342;22.993628
638;PdAugustoZdrMOB;PL0675A;August¢w - mobilne;PdAugustoZdrMOB;01.01.2017;31.12.2019;tào;miejski;mobilna;PODLASKIE;August¢w;ul. Zdrojowa;53.859528;23.000750
639;PdBialPulPie;PL0149A;Biaàystok-Podmiejska;PdBialyPodmiejska;01.09.2004;21.12.2017;tào;podmiejski;kontenerowa stacjonarna;PODLASKIE;Biaàystok;ul. 42 Puàku Piechoty;53.138614;23.229903
640;PdBialWarsza;PL0496A;Biaàystok-Warszawska;PdBialyWarszawska;01.01.2010;;tào;miejski;kontenerowa stacjonarna;PODLASKIE;Biaàystok;ul. Warszawska 75 A;53.129306;23.181744
641;PdBialWaszyn;PL0148A;Biaàystok-Miejska;PdBialyMiejska;01.09.2004;;tào;miejski;kontenerowa stacjonarna;PODLASKIE;Biaàystok;ul. Waszyngtona 16;53.126689;23.155869
642;PdBialyBroniewsk;;Bialystok ul. Broniewskiego 1;PdBialyBroniewsk;01.01.1994;31.12.2002;tào;miejski;w budynku;PODLASKIE;Biaàystok;ul. Broniewskiego 1;53.140469;23.134272
643;PdBialyLegionowa;;Biaàystok ul Legionowa 8;PdBialyLegionowa;01.01.1998;31.12.2003;tào;miejski;w budynku;PODLASKIE;Biaàystok;ul. Legionowa 8;53.130933;23.159853
