Nr;Kod stacji;Kod mi©dzynarodowy;Nazwa stacji;Stary Kod stacji;Data uruchomienia;Data zamkni©cia;Typ stacji;Typ obszaru;Rodzaj stacji;Wojew¢dztwo;MiejscowoòÜ;Ulica;WGS84 ? N;WGS84 ? E
1;DsBialka;;Biaàka;DsBialka;03.01.1990;31.12.2005;przemysàowa;podmiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Biaàka;;51.197783;16.117390
2;DsBielGrot;;Bielawa - ul. Grota Roweckiego;DsBielGrot;02.01.1994;31.12.2003;tào;miejski;w budynku;DOLNOóL§SKIE;Bielawa;ul. Grota Roweckiego 6;50.682510;16.617348
3;DsBogatFrancMOB;PL0602A;Bogatynia Mobil;DsBogatMob;01.01.2015;31.12.2015;tào;miejski;mobilna;DOLNOóL§SKIE;Bogatynia;ul. Francuska/Kr©ta;50.940998;14.916790
4;DsBogChop;PL0315A;Bogatynia - Chopina;DsBogChop;01.01.1996;31.12.2013;przemysàowa;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Bogatynia;ul. Chopina 35;50.905856;14.967175
5;DsBogZatonieMob;PL0576A;Bogatynia - Mobil;DsBogZatonieMob;01.01.2012;31.12.2012;przemysàowa;miejski;mobilna;DOLNOóL§SKIE;Bogatynia;ul. Konrada, Zatonie;50.943245;14.913327
6;DsBoleslaMOB;PL0658A;Bolesàawiec;DsBoleslaMOB;01.01.2017;02.01.2018;tào;miejski;mobilna;DOLNOóL§SKIE;Bolesàawiec;Juliusza Sàowackiego 2;51.263245;15.570354
7;DsBrzegGlog;;Brzeg Gàogowski;DsBrzegGlog;01.01.1980;31.12.2003;przemysàowa;pozamiejski;w budynku;DOLNOóL§SKIE;Brzeg Gàogowski;;51.691438;15.917840
8;DsChojnowKil;PL0185A;Chojn¢w,ul.Kili‰skiego;DsChojnowKil;06.01.2004;31.12.2005;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Chojn¢w;ul. Kili‰skiego;51.268889;15.940278
9;DsCzar07;PL0186A;Czarna G¢ra;DsCzar07;01.12.1996;30.09.2008;tào;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Czarna G¢ra;;50.255072;16.801641
10;DsCzerStraza;PL0028A;Czerniawa;DsCzer02;01.07.1996;;tào;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Czerniawa;ul. Straæacka 7;50.912475;15.312190
11;DsCzLasMob;PL0599A;Czarny Las - Mobil Mercedes;DsCzLasMob;01.01.2013;31.12.2013;tào;pozamiejski;mobilna;DOLNOóL§SKIE;Czarny Las;;51.541658;16.937064
12;DsDusznikMOB;PL0733A;Duszniki-Zdr¢j;DsDusznikMOB;01.01.2019;31.12.2019;tào;miejski;mobilna;DOLNOóL§SKIE;Duszniki-Zdr¢j;Sportowa 2a;50.402645;16.393319
13;DsDuszZiel;;Duszniki Zdr¢j - ul. Zielona;DsDuszZiel;02.01.1993;31.12.2003;tào;miejski;w budynku;DOLNOóL§SKIE;Duszniki-Zdr¢j;ul. Zielona 23;50.393396;16.382470
14;DsDzialoszyn;PL0054A;Dziaàoszyn;DsDzia01;01.07.1996;;przemysàowa;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Dziaàoszyn;bez ulicy;50.972167;14.941319
15;DsDziePilsud;PL0187A;Dzieræoni¢w - Piàsudskiego;DsDzierPilsA;01.01.2005;;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Dzieræoni¢w;ul. Piàsudskiego 26;50.732817;16.648050
16;DsDzierKras;;Dzieræoni¢w - ul. Krasickiego;DsDzierKras;02.01.1986;31.12.2003;tào;miejski;w budynku;DOLNOóL§SKIE;Dzieræoni¢w;ul. Krasickiego 36;50.726338;16.647286
17;DsGlogMob;PL0625A;Gàog¢w - Wita Stwosza - mobil;DsGlogMob;01.01.2014;31.12.2014;tào;miejski;mobilna;DOLNOóL§SKIE;Gàog¢w;ul. Wita Stwosza;51.657022;16.097822
18;DsGlogNorw;PL0188A;Gàog¢w - Norwida;DsGlogNorw;01.01.2011;31.12.2014;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Gàog¢w;ul. Norwida 3;51.657130;16.086188
19;DsGlogNorwArch;;Gàog¢w - Norwida Arch;DsGlogNorwArch;01.01.1994;31.12.2009;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Gàog¢w;ul. Norwida 3;51.657152;16.086183
20;DsGlogOrzech;;Gàog¢w, ul. Orzechowa;DsGlogOrzech;01.01.1980;31.12.2003;tào;miejski;w budynku;DOLNOóL§SKIE;Gàog¢w;ul. Orzechowa;51.648546;16.092286
21;DsGlogowko;;Gàog¢wko;DsGlogowko;01.01.1980;31.12.2003;przemysàowa;pozamiejski;w budynku;DOLNOóL§SKIE;Gàog¢wko;;51.731824;16.097768
22;DsGlogSikor;PL0260A;Gàog¢w, ul. Sikorskiego;DsGlogSikor;01.10.2003;31.12.2013;przemysàowa;podmiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Gàog¢w;ul. Ωukowicka 1;51.664508;16.040822
23;DsGlogWiStwo;PL0603A;Gàog¢w - Wita Stwosza;DsGlogWita;01.01.2015;;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Gàog¢w;ul. Wita Stwosza 3;51.657022;16.097822
24;DsGrodziec;;Grodziec Maày;DsGrodziec;01.01.1980;31.12.2003;przemysàowa;pozamiejski;w budynku;DOLNOóL§SKIE;Grodziec Maày;;51.687496;16.073213
25;DsJasnaSport;PL0316A;Jasna G¢ra - Sportowa;DsJasnaSport;01.01.1996;31.12.2013;przemysàowa;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Jasna G¢ra;ul. Sportowa 13;50.873692;14.954236
26;DsJawDmow;;Jawor - Dmowskiego;DsJawDmow;03.01.1994;31.12.2003;tào;miejski;w budynku;DOLNOóL§SKIE;Jawor;ul. Dmowskiego 8;51.057121;16.179854
27;DsJaworMOB;PL0734A;Jawor;DsJaworMOB;01.01.2019;31.12.2019;tào;miejski;mobilna;DOLNOóL§SKIE;Jawor;Armii Krajowej 9;51.049212;16.202317
28;DsJedlZdroj;;Jedlina Zdr¢j - Plac Zdrojowy;DsJedlZdroj;02.01.1993;31.12.2003;tào;miejski;w budynku;DOLNOóL§SKIE;Jedlina-Zdr¢j;pl. Zdrojowy 1;50.728378;16.345481
29;DsJelGorOgin;PL0585A;Jelenia G¢ra - Ogi‰skiego;DsJeleniaGoraA;20.10.2014;;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Jelenia G¢ra;ul. Ogi‰skiego 6;50.913433;15.765608
30;DsJelGorSoko;PL0586A;Jelenia G¢ra - Sokoliki;DsJeleniaGoraPM;01.01.2014;;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Jelenia G¢ra;ul. Sokoliki 6;50.871214;15.700947
31;DsJelw05;PL0026A;Jeleni¢w;DsJelw05;01.07.1996;31.12.2009;tào;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Jeleni¢w;;51.224843;15.232984
32;DsJgCiep;;Jelenia G¢ra - Cieplice;DsJgCiep;02.01.1982;31.12.2004;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Jelenia G¢ra;ul. Park Zdrojowy;50.862966;15.681788
33;DsJgCiepA;PL0189A;Jelenia G¢ra - Cieplice (AUT);DsJgCiepA;01.01.2005;31.12.2013;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Jelenia G¢ra;ul. Cervi 14;50.861853;15.678761
34;DsJgGrottgeraPM;PL0055A;Jelenia G¢ra - Grottgera (PM10);DsJgGrottgeraPM;01.01.2011;31.12.2011;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Jelenia G¢ra;ul. Grottgera 7;50.897497;15.736629
35;DsJgGrottgeraPMArch;;Jelenia G¢ra - Grottgera (PM10-Arch);DsJgGrottgeraPMArch;05.01.2004;31.12.2009;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Jelenia G¢ra;ul. Grottgera 7;50.897497;15.736629
36;DsJgScieg;;Jelenia G¢ra - óciegiennego;DsJgScieg;11.01.1995;31.12.2003;tào;miejski;w budynku;DOLNOóL§SKIE;Jelenia G¢ra;ul. óciegiennego 5/7;50.865874;15.679301
37;DsJgWoln;;Jelenia G¢ra - Wolnoòci;DsJgWoln;03.01.1993;31.12.2004;tào;miejski;w budynku;DOLNOóL§SKIE;Jelenia G¢ra;ul. Wolnoòci 139;50.885634;15.717597
38;DsJgZabob;;Jelenia G¢ra - Zabobrze;DsJgZabob;04.01.1992;30.04.2006;tào;miejski;mobilna;DOLNOóL§SKIE;Jelenia G¢ra;ul. Ogi‰skiego;50.914470;15.764693
39;DsKalinowka;PL0261A;Kalin¢wka;DsKalinowka;01.01.2003;31.12.2013;przemysàowa;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Kalinowka;;51.522600;16.244147
40;DsKawice;;Kawice;DsKawice;06.01.2003;31.12.2003;tào;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Kawice;;51.230833;16.428889
41;DsKgMob;;Kamienna G¢ra - Mobil Horiba;DsKgMob;01.01.2008;05.05.2008;tào;miejski;mobilna;DOLNOóL§SKIE;Kamienna G¢ra;ul. Szpitalna;50.786873;16.029129
42;DsKgSien;;Kamienna G¢ra - Sienkiewicza;DsKgSien;04.01.1995;31.12.2003;tào;miejski;w budynku;DOLNOóL§SKIE;Kamienna G¢ra;ul. Sienkiewicza 5;50.781207;16.029155
43;DsKlodzOkrz;;Kàodzko - ul. Okrzei;DsKlodzOkrz;02.01.1987;31.12.2005;tào;miejski;w budynku;DOLNOóL§SKIE;Kàodzko;ul. Okrzei 16;50.433389;16.650177
44;DsKlodzSzkol;PL0504A;Kàodzko - Szkolna;DsKlodzkoA;05.06.2009;;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Kàodzko;ul. Szkolna 8;50.433493;16.653660
45;DsKobierz;;Kobierzyce - Robotnicza;DsKobierz;30.01.2003;31.12.2003;tào;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Kobierzyce;ul. Robotnicza 19;50.968056;16.928056
46;DsKowMaj;;Kowary - 1-go Maja;DsKowMaj;15.01.2001;31.12.2002;tào;miejski;w budynku;DOLNOóL§SKIE;Kowary;ul. 1 Maja 1;50.793145;15.835843
47;DsKozDoly;;Kozie Doày;DsKozDoly;01.01.1980;31.12.2003;przemysàowa;pozamiejski;w budynku;DOLNOóL§SKIE;Kozie Doày;;51.727524;16.025971
48;DsKromolin;PL0262A;Kromolin;DsKromolin;01.10.2003;31.12.2013;przemysàowa;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Kromolin;;51.684959;15.894901
49;DsKudowaMOB;PL0659A;Kudowa-Zdr¢j;DsKudowaMOB;01.01.2017;;tào;miejski;mobilna;DOLNOóL§SKIE;Kudowa-Zdr¢j;Tadeusza Koòciuszki 16;50.447096;16.238509
50;DsKudSlon;;Kudowa Zdr¢j - ul. Sàoneczna;DsKudSlon;02.01.1999;31.12.2004;tào;miejski;w budynku;DOLNOóL§SKIE;Kudowa-Zdr¢j;ul. Sàoneczna 17;50.439976;16.248312
51;DsLadekMOB;PL0686A;L•dek-Zdr¢j;DsLadekMOB;17.01.2018;31.12.2018;tào;miejski;mobilna;DOLNOóL§SKIE;L•dek-Zdr¢j;ów. Kr¢lowej Jadwigi;50.341864;16.889899
52;DsLadekWol;;L•dek Zdr¢j - ul. Wolnoòci;DsLadekWol;02.01.1992;31.12.2004;tào;miejski;w budynku;DOLNOóL§SKIE;L•dek-Zdr¢j;ul. Wolnoòci 4;50.345683;16.888804
53;DsLegAlRzecz;PL0190A;Legnica - Rzeczypospolitej;DsLegRzeczA;01.10.2004;;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Legnica;al. Rzeczypospolitej 10/12;51.204503;16.180513
54;DsLegIwasz;;Legnica - Iwaszkiewicza;DsLegIwasz;01.01.1997;31.12.2003;tào;miejski;w budynku;DOLNOóL§SKIE;Legnica;ul. Iwaszkiewicza 5;51.208189;16.216706
55;DsLegJaworz;;Legnica - Jaworzy‰ska;DsLegJaworz;01.01.1984;31.12.2003;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Legnica;ul. Jaworzy‰ska;51.191168;16.156159
56;DsLegKsiez;;Legnica - Ksi©æycowa;DsLegKsiez;01.10.1996;30.04.2006;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Legnica;ul. Ksi©æycowa 14;51.208727;16.190277
57;DsLegMick;;Legnica - Mickiewicza;DsLegMick;01.01.1996;31.12.2004;tào;miejski;w budynku;DOLNOóL§SKIE;Legnica;ul. Mickiewicza 24;51.202831;16.164608
58;DsLegPolarna;PL0738A;Legnica - Polarna;DsLegPolarna;01.01.2019;;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Legnica;Polarna 1;51.208104;16.183784
59;DsLegPoraz;PL0540A;Legnica - Porazi‰skiej;DsLegPoraz;01.01.2011;31.12.2013;przemysàowa;podmiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Legnica;ul. Porazi‰skiej;51.193519;16.135192
60;DsLegRzecz;;Legnica - Aleja Rzeczypospolitej;DsLegRzecz;09.01.1999;10.02.2005;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Legnica;ul. Rzeczypospolitej;51.204196;16.179819
61;DsLegRzeczPM;;Legnica, al. Rzeczypospolitej (PSSE);DsLegRzeczPM;01.01.2005;31.12.2007;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Legnica;ul. Rzeczypospolitej;51.204230;16.180763
62;DsLegSmok;PL0301A;Legnica - Smokowicka;DsLegSmok;01.01.2003;31.12.2010;przemysàowa;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Legnica;ul. Smokowicka;51.180776;16.098375
63;DsLegZlotor;PL0263A;Legnica - Zàotoryjska;DsLegZlotor;03.01.1996;31.12.2010;przemysàowa;podmiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Legnica;ul. Zàotoryjska;51.188018;16.129061
64;DsLesnaRyn;;Leòna - Rynek;DsLesnaRyn;02.01.1994;31.12.2002;tào;miejski;w budynku;DOLNOóL§SKIE;Leòna;ul. Rynek 19;51.023029;15.263245
65;DsLubanMieszMOB;PL0747A;Luba‰ - Mieszka II;DsLubanMieszMOB;01.01.2019;;tào;miejski;mobilna;DOLNOóL§SKIE;Luba‰;Mieszka II 1;51.119011;15.275539
66;DsLubanMOB;PL0687A;Luba‰ - ù•czna;DsLubanMOB;11.01.2018;31.12.2018;tào;miejski;mobilna;DOLNOóL§SKIE;Luba‰;ù•czna;51.118412;15.285835
67;DsLubanRyn;;Luba‰ - Rynek;DsLubanRyn;02.01.1994;31.12.2004;tào;miejski;w budynku;DOLNOóL§SKIE;Luba‰;ul. Rynek 19;51.120172;15.290536
68;DsLubanZaw;;Luba‰ - Zawidowska;DsLubanZaw;03.01.1993;31.12.2003;tào;miejski;w budynku;DOLNOóL§SKIE;Luba‰;ul. Zawidowska 4;51.116600;15.272080
69;DsLubinMaj;PL0056A;Lubin - 1-go Maja;DsLubinMaj;01.01.1998;31.12.2009;tào;miejski;w budynku;DOLNOóL§SKIE;Lubin;ul. 1 Maja 15;51.398416;16.199642
70;DsLubinMob;PL0577A;Lubin - Mobil Mercedes;DsLubinMob;01.01.2012;31.12.2012;tào;miejski;mobilna;DOLNOóL§SKIE;Lubin;ul. Wierzbowa;51.406741;16.187307
71;DsLubinSowia;;Lubin,ul.Sowia;DsLubinSowia;06.01.2004;31.12.2005;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Lubin;ul. Sowia;51.380000;16.212564
72;DsLubiWierzb;PL0632A;Lubin - Wierzbowa;DsLubiWierzb;01.01.2016;31.12.2016;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Lubin;ul. Wierzbowa 70;51.406505;16.188329
73;DsLwowekPart;;Lw¢wek ól.- Partyzant¢w;DsLwowekPart;02.01.1994;31.12.2003;tào;miejski;w budynku;DOLNOóL§SKIE;Lw¢wek ól•ski;ul. Partyzant¢w 6;51.111733;15.579598
74;DsNowRudJezi;PL0745A;Nowa Ruda - Jeziorna;DsNowRudJezi;01.01.2019;;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Nowa Ruda;ul. Jeziorna 19;50.581492;16.498245
75;DsNowRudSreb;PL0191A;Nowa Ruda - Srebrna;DsNRudaSrebP;01.01.2011;31.12.2018;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Nowa Ruda;ul. Srebrna 1a;50.579914;16.514422
76;DsNRudaPil;;Nowa Ruda - ul. Piàsudskiego;DsNRudaPil;02.01.2000;31.07.2003;tào;miejski;w budynku;DOLNOóL§SKIE;Nowa Ruda;ul. Piàsudskiego 14;50.583890;16.502458
77;DsNRudaSlupPM;;Nowa Ruda - Sàupiec (PM10);DsNRudaSlupPM;01.03.2005;31.12.2006;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Nowa Ruda - Sàupiec;ul. Wiejska 15;50.550008;16.553645
78;DsNRudaSrebA;;Nowa Ruda - ul. Srebrna (AUT);DsNRudaSrebA;01.01.2005;31.12.2010;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Nowa Ruda;ul. Srebrna;50.579924;16.514303
79;DsNRudaSrebPArch;;Nowa Ruda - ul. Srebrna (PM10-Arch);DsNRudaSrebPArch;06.06.2003;31.12.2009;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Nowa Ruda;ul. Srebrna 1a;50.579913;16.514422
80;DsOla3Maj;;Oàawa - 3 Maja;DsOla3Maj;01.01.1978;31.12.2005;tào;miejski;w budynku;DOLNOóL§SKIE;Oàawa;ul. 3 Maja 1A;50.945755;17.296150
81;DsOlawZolnAK;PL0317A;Oàawa - Ωoànierzy AK;DsOlawaSemi;01.07.2008;;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Oàawa;ul. Ωoànierzy AK 9;50.942073;17.291333
82;DsOlesBrzozo;PL0476A;Oleònica - Brzozowa;DsOlesnicaPM;01.01.2011;;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Oleònica;ul. Brzozowa 7;51.217483;17.389997
83;DsOlesnicaPM-Arch;;Oleònica - Brzozowa (PM10-Arch);DsOlesnicaPM-Arch;01.01.2009;31.12.2009;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Oleònica;ul. Brzozowa 7;51.217494;17.389998
84;DsOlesRyn;;Oleònica - Rynek;DsOlesRyn;01.01.1995;31.12.2005;tào;miejski;w budynku;DOLNOóL§SKIE;Oleònica;ul. Rynek Ratusz 12;51.209491;17.379688
85;DsOsieczow21;PL0505A;Osiecz¢w;DsOsieczow;01.01.2010;;tào;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Osiecz¢w;bez ulicy;51.317630;15.431719
86;DsPolanPark;;Polanica Zdr¢j - ul. Parkowa;DsPolanPark;02.01.1994;31.12.2004;tào;miejski;w budynku;DOLNOóL§SKIE;Polanica-Zdr¢j;ul. Parkowa 4;50.407434;16.511192
87;DsPolanSportMOB;PL0633A;Polanica-Zdr¢j - Sportowa;DsPolanSportMOB;01.01.2016;;tào;miejski;mobilna;DOLNOóL§SKIE;Polanica-Zdr¢j;ul. Sportowa 9;50.415758;16.513058
88;DsPolKasztan;PL0057A;Polkowice - Kasztanowa;DsPolkKasz;01.05.2004;;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Polkowice;ul. Kasztanowa 29;51.502370;16.075051
89;DsPolkDabr;;Polkowice - D•browskiego;DsPolkDabr;01.01.1994;31.12.2003;tào;miejski;w budynku;DOLNOóL§SKIE;Polkowice;ul. D•browskiego;51.503659;16.075061
90;DsPrzerzZdr;;Przerzeczyn Zdr¢j - ul. Zdrojowa;DsPrzerzZdr;02.01.1994;31.12.2003;tào;pozamiejski;w budynku;DOLNOóL§SKIE;Przerzeczyn-Zdr¢j;ul. Zdrojowa 31;50.685276;16.831781
91;DsRadomierz;PL0318A;Radomierzyce;DsRadomierz;01.01.1996;31.12.2013;przemysàowa;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Radomierzyce;;51.058300;14.973735
92;DsRudna;PL0265A;Rudna;DsRudna;01.01.2003;31.12.2013;przemysàowa;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Rudna;;51.512506;16.251711
93;DsRudnaWit;;Rudna - W.Witosa;DsRudnaWit;01.10.1992;31.12.2003;przemysàowa;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Rudna;ul. W. Witosa;51.504339;16.261379
94;DsSlone;;Sàone;DsSlone;01.01.1980;31.12.2003;przemysàowa;pozamiejski;w budynku;DOLNOóL§SKIE;Sàone;;51.661053;16.022652
95;DsSnie04;PL0058A;ónieæne Kotày;DsSnie04;01.07.1996;31.12.2010;tào;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;;ónieæne Kotày;50.778373;15.557425
96;DsSniezkaObs;PL0003R;ónieæka;DsSniezka;01.01.2000;;tào;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Karpacz;ónieæka;50.736389;15.739722
97;DsSobczyce;PL0266A;Sobczyce;DsSobczyce;01.10.2003;31.12.2013;przemysàowa;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Sobczyce;;51.702092;16.067231
98;DsSoko08;;Sokolec;DsSoko08;01.11.1996;19.05.2004;tào;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Sokolec;;50.668056;16.475000
99;DsSpal06;;Spalona;DsSpal06;15.11.1996;15.05.2004;tào;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Spalona;;50.276570;16.538299
100;DsStrzMob;PL0506A;Strzelin - Mobil Mercedes;DsStrzMob;01.01.2010;31.12.2011;tào;miejski;mobilna;DOLNOóL§SKIE;Strzelin;ul. M.Konopnickiej 3;50.784386;17.079435
101;DsSwidnFolwa;PL0660A;ówidnica - Folwarczna;DsSwidnFolwa;01.01.2017;;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;ówidnica;ul. Folwarczna 2;50.844430;16.494006
102;DsSwidnMarciMOB;PL0604A;ówidnica - Marcinkowskiego MOB;DsSwidMob;01.01.2015;31.12.2015;tào;miejski;mobilna;DOLNOóL§SKIE;ówidnica;ul. Karola Marcinkowskiego 4-6;50.846559;16.466928
103;DsSwidnRynek;PL0059A;ówidnica - Rynek;DsSwidRynek;01.01.2011;31.12.2016;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;ówidnica;ul. Rynek 43;50.842364;16.486703
104;DsSwidRynekArch;;ówidnica - Rynek Arch;DsSwidRynekArch;02.07.2003;31.12.2009;tào;miejski;w budynku;DOLNOóL§SKIE;ówidnica;ul. Rynek 43;50.842360;16.486704
105;DsSwidWalb;;ówidnica - ul. Waàbrzyska;DsSwidWalb;02.01.1985;31.12.2003;tào;miejski;w budynku;DOLNOóL§SKIE;ówidnica;ul. Waàbrzyska 15;50.838047;16.480395
106;DsSzczaKolej;PL0541A;Szczawno-Zdr¢j - Kolejowa;DsSzczDZPM;01.01.2012;;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Szczawno-Zdr¢j;ul. Kolejowa 14;50.804189;16.254111
107;DsSzczAzalMob;PL0578A;Szczawno-Zdr¢j - Azalia - Mobil;DsSzczAzalMob;01.01.2012;31.12.2012;tào;miejski;mobilna;DOLNOóL§SKIE;Szczawno-Zdr¢j;ul. Klonowa;50.806472;16.253264
108;DsSzczKopPM;PL0267A;Szczawno Zdr¢j - ul. Kopernika (PM10);DsSzczKopPM;01.01.2007;31.12.2011;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Szczawno-Zdr¢j;ul. Kopernika 2;50.801538;16.250145
109;DsSzczMagMob;PL0579A;Szczawno-Zdr¢j - Magnolia - Mobil;DsSzczMagMob;01.01.2012;31.12.2012;tào;miejski;mobilna;DOLNOóL§SKIE;Szczawno-Zdr¢j;ul. Kopernika;50.801523;16.250182
110;DsSzczOgr;;Szczawno Zdr¢j - ul. Ogrodowa;DsSzczOgr;02.01.1993;31.12.2004;tào;miejski;w budynku;DOLNOóL§SKIE;Szczawno-Zdr¢j;ul. Ogrodowa 5;50.805025;16.257246
111;DsSzczRat;PL0254A;Szczawno Zdr¢j - ul. Ratuszowa;DsSzczRat;01.04.1983;31.12.2007;tào;miejski;w budynku;DOLNOóL§SKIE;Szczawno-Zdr¢j;ul. Ratuszowa 1;50.802699;16.254862
112;DsSzklarkiMob;PL0600A;Szklarki - Mobil;DsSzklarkiMob;01.01.2013;31.12.2013;tào;pozamiejski;mobilna;DOLNOóL§SKIE;Szklarki;;51.515908;15.747383
113;DsSzkPor1MajMOB;PL0634A;Szklarska Por©ba - 1 Maja;DsSzkPor1MajMOB;01.01.2016;31.12.2016;tào;miejski;mobilna;DOLNOóL§SKIE;Szklarska Por©ba;1 Maja;50.822706;15.528251
114;DsTarnowek;PL0268A;Tarn¢wek;DsTarnowek;01.01.2003;31.12.2013;przemysàowa;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Tarnowek;;51.513299;16.166761
115;DsTrzebBoch;;Trzebnica-Bochenka;DsTrzebBoch;01.01.2004;31.12.2005;tào;miejski;w budynku;DOLNOóL§SKIE;Trzebnica;ul. Ks.Bochenka;51.310278;17.062778
116;DsTrzebLes;;Trzebnica - Leòna;DsTrzebLes;01.01.1994;31.12.2003;tào;miejski;w budynku;DOLNOóL§SKIE;Trzebnica;ul. Leòna;51.303889;17.070000
117;DsTrzebMob;;Trzebnica - Mobil Mercedes;DsTrzebMob;01.04.2008;31.01.2010;tào;miejski;mobilna;DOLNOóL§SKIE;Trzebnica;ul. Ωoànierzy Wrzeònia;51.305272;17.060139
118;DsWalbBator;;Waàbrzych - ul. Batorego;DsWalbBator;02.01.1975;31.12.2003;tào;miejski;w budynku;DOLNOóL§SKIE;Waàbrzych;ul. Batorego 3;50.774028;16.278035
119;DsWalbGrodz;;Waàbrzych - ul. Grodzka;DsWalbGrodz;02.01.1993;31.12.2004;tào;miejski;w budynku;DOLNOóL§SKIE;Waàbrzych;ul. Grodzka 73;50.823623;16.275474
120;DsWalbJord;PL0060A;Waàbrzych - ul. Jordana;DsWalbJord;02.01.2001;31.12.2006;przemysàowa;miejski;w budynku;DOLNOóL§SKIE;Waàbrzych;ul. Jordana 4;50.759444;16.241389
121;DsWalbKost;;Waàbrzych - ul. Kosteckiego;DsWalbKost;02.01.1983;31.12.2003;przemysàowa;miejski;w budynku;DOLNOóL§SKIE;Waàbrzych;ul. Kosteckiego 2;50.762702;16.244248
122;DsWalbrzWyso;PL0192A;Waàbrzych - Wysockiego;DsWalbWysA;01.01.2005;;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Waàbrzych;ul. Wysockiego 11;50.768729;16.269677
123;DsWalbWysPArch;;Waàbrzych - ul. Wysockiego (PM10-Arch);DsWalbWysPArch;02.01.2004;31.12.2009;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Waàbrzych;ul. Wysockiego 11;50.768747;16.269584
124;DsWitk09;;Witk¢w;DsWitk09;01.11.1996;20.05.2004;tào;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Witk¢w;;50.816520;16.122029
